# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 14.8025 h/Mpc,
# number of wavenumbers equal to 618
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       7.105232274912e-01       1.594638872238e+02 
       7.137371017536e-01       1.578720557648e+02 
       7.169509760732e-01       1.563022182950e+02 
       7.201648504493e-01       1.547546471338e+02 
       7.233787248812e-01       1.532295873193e+02 
       7.265925993681e-01       1.517261117319e+02 
       7.298064739093e-01       1.502429224816e+02 
       7.330203485041e-01       1.487787911873e+02 
       7.362342231517e-01       1.473330263442e+02 
       7.394480978515e-01       1.459056102237e+02 
       7.426619726029e-01       1.444973335725e+02 
       7.458758474050e-01       1.431087970077e+02 
       7.490897222573e-01       1.417398626971e+02 
       7.523035971592e-01       1.403902212535e+02 
       7.555174721100e-01       1.390587279916e+02 
       8.259208849701e-01       1.138072674028e+02 
       9.280154807390e-01       8.731093739937e+01 
       1.090552939772e+00       6.018195317710e+01 
       1.346944165423e+00       3.666824969738e+01 
